"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rex47","798815731",5790000,5872500,82500,1.4
"Kxbi39","963545236",5488000,3790000,-1698000,-30.9
"Zak McKracken","583975841",5326500,3997500,-1329000,-25
"Okul Mevisto","375389182",5251000,1745000,-3506000,-66.8
"Radhad","726188947",5218000,6000000,782000,15
"BΛ 18th Qu1nO","311184143",4558500,2745000,-1813500,-39.8
"BΛ 18th Failix93","531337631",4400500,4800000,399500,9.1
"Nudo der Rächer","553153872",4078500,2572500,-1506000,-36.9
"bL4De","457291367",3950500,3310000,-640500,-16.2
"Rene","652417452",3600500,1193750,-2406750,-66.8
"Kyle Katarn","857467862",3540000,450000,-3090000,-87.3
"Tobiwan","215178647",3092000,2305000,-787000,-25.5
"Maxima","272612712",2778500,1107500,-1671000,-60.1
"DD44ddyy","569924112",2558000,1765000,-793000,-31
"Micha","441471428",2371500,2247500,-124000,-5.2
"Poldy","198972786",2324500,1200000,-1124500,-48.4
"BΛ 18th Domme53","293754352",2318000,2325000,7000,0.3
"Campeón Pesadilla","987453191",2311000,1283750,-1027250,-44.5
"Halodri","423968927",2286500,1440000,-846500,-37
"n0am","736436766",2098000,1555000,-543000,-25.9
"YPSOLON","912458532",2063500,897500,-1166000,-56.5
"Exar Kun","587915188",2051500,2400000,348500,17
"Ethan Calypso","834324965",2043500,1827500,-216000,-10.6
"Bad Batch","681176546",1980500,832500,-1148000,-58
"Evilfraggle","527696828",1938000,652500,-1285500,-66.3
"Bullet","877667496",1884500,580000,-1304500,-69.2
"Sasa","496742742",1858500,1215000,-643500,-34.6
"Nikotin2803","225819189",1795500,1665000,-130500,-7.3
"Rendo","529589453",1656000,2100000,444000,26.8
"olliw30","785375887",1631500,600000,-1031500,-63.2
"Korgas","765528436",1532500,1125000,-407500,-26.6
"Cyria","562612771",1507500,1035000,-472500,-31.3
"Giga","731918197",1445000,1125000,-320000,-22.1
"Amgcobra","529132897",1436000,640000,-796000,-55.4
"Aaron","894684436",1299500,300000,-999500,-76.9
"Pelzdavi","412292457",1268500,750000,-518500,-40.9
"Pekaju81","657872812",1166000,535000,-631000,-54.1
"Eselinho","673687898",1156000,300000,-856000,-74
"Xyvee","666924181",1104500,300000,-804500,-72.8
"Cyno Lanri","856891947",1085500,550000,-535500,-49.3
"Imperatorin Skylar ツ","529359665",1039000,177500,-861500,-82.9
"hartholzheftig","829453731",1035500,300000,-735500,-71
"Battlemurmel","215789357",931500,275000,-656500,-70.5
"Wyrdn","928416533",881500,830000,-51500,-5.8
"BΛ Anexiety","486818281",776000,830000,54000,7
"Acaizuku","449847638",726000,600000,-126000,-17.4
"Meister Kek","816352927",386000,205000,-181000,-46.9
"Falen Lacer","996731294",375500,300000,-75500,-20.1
"Murc de Burgh","779865135",325500,0,-325500,-100
"Lavesuma","444867952",150500,225000,74500,49.5
