"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Lavesuma","444867952",150500,225000,74500,49.5
"Rendo","529589453",2185500,2530000,344500,15.8
"Radhad","726188947",5775000,6450000,675000,11.7
"Exar Kun","587915188",2179000,2400000,221000,10.1
"BΛ 18th Failix93","531337631",5438000,5850000,412000,7.6
"BΛ Anexiety","486818281",779000,825000,46000,5.9
"Korgas","765528436",1360000,1425000,65000,4.8
"Nikotin2803","225819189",1802500,1882500,80000,4.4
"Poldy","198972786",5184500,5300000,115500,2.2
"Rex47","798815731",9303000,9450000,147000,1.6
"FirstOrderCommander","386171956",925000,,,
"JodaNot","568593313",3920500,,,
"Sandrelle","225136779",4216500,,,
"BΛ 18th Domme53","293754352",3866500,3750000,-116500,-3
"Micha","441471428",3390500,3047500,-343000,-10.1
"Wyrdn","928416533",1912000,1635000,-277000,-14.5
"Sasa","496742742",1860500,1570000,-290500,-15.6
"olliw30","785375887",1651000,1350000,-301000,-18.2
"Zak McKracken","583975841",6290000,5100000,-1190000,-18.9
"Josef29","588644288",10084000,8100000,-1984000,-19.7
"Falen Lacer","996731294",376000,300000,-76000,-20.2
"DD44ddyy","569924112",3103500,2457500,-646000,-20.8
"n0am","736436766",2256500,1650000,-606500,-26.9
"Giga","731918197",1647500,1200000,-447500,-27.2
"Campeón Pesadilla","987453191",2490000,1725000,-765000,-30.7
"Okul Mevisto","375389182",6517500,4380000,-2137500,-32.8
"Tobiwan","215178647",4798000,3180000,-1618000,-33.7
"Aaron","894684436",1327500,870000,-457500,-34.5
"Battlemurmel","215789357",937500,600000,-337500,-36
"Ethan Calypso","834324965",2741500,1732500,-1009000,-36.8
"Nudo der Rächer","553153872",4731000,2945000,-1786000,-37.8
"Cyria","562612771",2087000,1295000,-792000,-37.9
"Pelzdavi","412292457",1269500,750000,-519500,-40.9
"Halodri","423968927",2952000,1707500,-1244500,-42.2
"Maxima","272612712",2808000,1460000,-1348000,-48
"Amgcobra","529132897",1579500,790000,-789500,-50
"Eselinho","673687898",1221500,600000,-621500,-50.9
"Murc de Burgh","779865135",497000,240000,-257000,-51.7
"YPSOLON","912458532",2667000,1275000,-1392000,-52.2
"Evilfraggle","527696828",2705500,1252500,-1453000,-53.7
"Kxbi39","963545236",5698000,2610000,-3088000,-54.2
"Bullet","877667496",1847500,822500,-1025000,-55.5
"Imperatorin Skylar ツ","529359665",1043000,402500,-640500,-61.4
"BΛ 18th Qu1nO","311184143",7527000,2647500,-4879500,-64.8
"Skylar Twink","588326869",1671500,565000,-1106500,-66.2
"Cyno Lanri","856891947",1133000,320000,-813000,-71.8
"Pekaju81","657872812",1244000,275000,-969000,-77.9
"hartholzheftig","829453731",1040500,0,-1040500,-100
"Kyle Katarn","857467862",4287000,0,-4287000,-100
"Xyvee","666924181",1216500,0,-1216500,-100
