"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Kxbi39","963545236",5486000,4162500,-1323500,-24.1
"Okul Mevisto","375389182",5251000,1940000,-3311000,-63.1
"Rex47","798815731",5204000,5467500,263500,5.1
"Zak McKracken","583975841",5095000,3857500,-1237500,-24.3
"BΛ 18th Qu1nO","311184143",4555500,3150000,-1405500,-30.9
"BΛ 18th Failix93","531337631",4387000,4800000,413000,9.4
"Nudo der Rächer","553153872",3858500,2547500,-1311000,-34
"Rene","652417452",3595000,1237500,-2357500,-65.6
"Kyle Katarn","857467862",3540000,0,-3540000,-100
"bL4De","457291367",3438000,3560000,122000,3.5
"Tobiwan","215178647",3067500,1867500,-1200000,-39.1
"Radhad","726188947",2916500,3300000,383500,13.1
"Maxima","272612712",2778500,1451250,-1327250,-47.8
"DD44ddyy","569924112",2556000,2377500,-178500,-7
"BΛ 18th Domme53","293754352",2318000,2100000,-218000,-9.4
"Campeón Pesadilla","987453191",2306500,1657500,-649000,-28.1
"Halodri","423968927",2282500,1530000,-752500,-33
"Micha","441471428",2196000,2250000,54000,2.5
"n0am","736436766",2096500,1275000,-821500,-39.2
"YPSOLON","912458532",2064000,750000,-1314000,-63.7
"Exar Kun","587915188",2051500,,,
"Ethan Calypso","834324965",2044000,1457500,-586500,-28.7
"Evilfraggle","527696828",1937000,395000,-1542000,-79.6
"Bullet","877667496",1884500,770000,-1114500,-59.1
"Sasa","496742742",1676500,1335000,-341500,-20.4
"Rendo","529589453",1655000,1650000,-5000,-0.3
"olliw30","785375887",1627500,1382500,-245000,-15.1
"Bad Batch","681176546",1585000,750000,-835000,-52.7
"Korgas","765528436",1528000,1130000,-398000,-26
"Cyria","562612771",1507500,1007500,-500000,-33.2
"Giga","731918197",1370500,962500,-408000,-29.8
"Nikotin2803","225819189",1322500,1335000,12500,0.9
"Aaron","894684436",1296000,0,-1296000,-100
"Pelzdavi","412292457",1264500,750000,-514500,-40.7
"Amgcobra","529132897",1238500,300000,-938500,-75.8
"Pekaju81","657872812",1161000,0,-1161000,-100
"Eselinho","673687898",1156000,300000,-856000,-74
"Xyvee","666924181",1104500,300000,-804500,-72.8
"Cyno Lanri","856891947",1085500,530000,-555500,-51.2
"hartholzheftig","829453731",1035500,600000,-435500,-42.1
"Imperatorin Skylar ツ","529359665",1034500,,,
"Battlemurmel","215789357",931500,300000,-631500,-67.8
"Meister DuKa","737898978",915000,0,-915000,-100
"Wyrdn","928416533",881000,835000,-46000,-5.2
"BΛ Anexiety","486818281",772000,825000,53000,6.9
"Acaizuku","449847638",651000,600000,-51000,-7.8
"Meister Kek","816352927",382000,42500,-339500,-88.9
"Falen Lacer","996731294",374500,300000,-74500,-19.9
"Murc de Burgh","779865135",325500,0,-325500,-100
"Lavesuma","444867952",150500,0,-150500,-100
