"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rex47","798815731",5790000,5797500,7500,0.1
"Kxbi39","963545236",5491000,3310000,-2181000,-39.7
"Zak McKracken","583975841",5331500,4530000,-801500,-15
"Radhad","726188947",5274500,6000000,725500,13.8
"Okul Mevisto","375389182",5253000,1760000,-3493000,-66.5
"BΛ 18th Qu1nO","311184143",4622500,4512500,-110000,-2.4
"BΛ 18th Failix93","531337631",4404500,4950000,545500,12.4
"Bad Batch","681176546",4119500,4050000,-69500,-1.7
"Nudo der Rächer","553153872",4081000,2470000,-1611000,-39.5
"Tobiwan","215178647",3721000,2260000,-1461000,-39.3
"Rene","652417452",3604000,1353750,-2250250,-62.4
"Kyle Katarn","857467862",3542000,450000,-3092000,-87.3
"BΛ 18th Domme53","293754352",3177500,2700000,-477500,-15
"Maxima","272612712",2777500,1205000,-1572500,-56.6
"DD44ddyy","569924112",2692500,2272500,-420000,-15.6
"Micha","441471428",2366500,1915000,-451500,-19.1
"Poldy","198972786",2328500,1902500,-426000,-18.3
"Campeón Pesadilla","987453191",2311500,1760000,-551500,-23.9
"Halodri","423968927",2303500,1477500,-826000,-35.9
"Rendo","529589453",2182000,1920000,-262000,-12
"n0am","736436766",2100500,1620000,-480500,-22.9
"YPSOLON","912458532",2066000,712500,-1353500,-65.5
"Exar Kun","587915188",2051500,2375000,323500,15.8
"Ethan Calypso","834324965",2050500,1880000,-170500,-8.3
"Evilfraggle","527696828",1940500,440000,-1500500,-77.3
"Sasa","496742742",1860500,740000,-1120500,-60.2
"Bullet","877667496",1847000,885000,-962000,-52.1
"Nikotin2803","225819189",1798000,1500000,-298000,-16.6
"olliw30","785375887",1631500,1330000,-301500,-18.5
"Cyria","562612771",1507500,1130000,-377500,-25
"Giga","731918197",1445500,967500,-478000,-33.1
"Amgcobra","529132897",1437500,585000,-852500,-59.3
"Korgas","765528436",1356000,1275000,-81000,-6
"Aaron","894684436",1301000,450000,-851000,-65.4
"Pelzdavi","412292457",1268500,750000,-518500,-40.9
"Eselinho","673687898",1221000,600000,-621000,-50.9
"Pekaju81","657872812",1166000,0,-1166000,-100
"Xyvee","666924181",1104500,600000,-504500,-45.7
"Cyno Lanri","856891947",1084000,350000,-734000,-67.7
"Wyrdn","928416533",1060500,1297500,237000,22.3
"Imperatorin Skylar ツ","529359665",1039000,370000,-669000,-64.4
"hartholzheftig","829453731",1035500,600000,-435500,-42.1
"Battlemurmel","215789357",933000,600000,-333000,-35.7
"BΛ Anexiety","486818281",776500,825000,48500,6.2
"Acaizuku","449847638",727500,600000,-127500,-17.5
"Meister Kek","816352927",386000,30000,-356000,-92.2
"Falen Lacer","996731294",375500,300000,-75500,-20.1
"Murc de Burgh","779865135",325500,0,-325500,-100
"Lavesuma","444867952",150500,0,-150500,-100
