"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Kxbi39","963545236",4780500,3555000,-1225500,-25.6
"Okul Mevisto","375389182",4662500,2525000,-2137500,-45.8
"BΛ 18th Qu1nO","311184143",4523500,2295000,-2228500,-49.3
"Zak McKracken","583975841",4403000,2850000,-1553000,-35.3
"BΛ 18th Failix93","531337631",3788500,3900000,111500,2.9
"Nudo der Rächer","553153872",3503500,2215000,-1288500,-36.8
"bL4De","457291367",3092500,2745000,-347500,-11.2
"Kyle Katarn","857467862",2913000,1225000,-1688000,-57.9
"Rene","652417452",2762000,1092500,-1669500,-60.4
"DD44ddyy","569924112",2554000,2070000,-484000,-19
"Tobiwan","215178647",2551500,1320000,-1231500,-48.3
"Halodri","423968927",2279500,1545000,-734500,-32.2
"BΛ 18th Domme53","293754352",2205500,1800000,-405500,-18.4
"Micha","441471428",2174500,2247500,73000,3.4
"Stefan80","853644323",2159000,1060000,-1099000,-50.9
"Maxima","272612712",2106500,1135000,-971500,-46.1
"YPSOLON","912458532",2044500,1150000,-894500,-43.8
"n0am","736436766",1963000,1295000,-668000,-34
"Evilfraggle","527696828",1915500,692500,-1223000,-63.8
"Ethan Calypso","834324965",1891000,1375000,-516000,-27.3
"Bullet","877667496",1833500,300000,-1533500,-83.6
"Sasa","496742742",1655000,300000,-1355000,-81.9
"olliw30","785375887",1606500,1145000,-461500,-28.7
"Rendo","529589453",1602000,390000,-1212000,-75.7
"Radhad","726188947",1560500,1515000,-45500,-2.9
"Korgas","765528436",1350500,937500,-413000,-30.6
"Aaron","894684436",1271500,525000,-746500,-58.7
"Pelzdavi","412292457",1261500,750000,-511500,-40.5
"Gabel","973795682",1239500,,,
"Amgcobra","529132897",1237500,550000,-687500,-55.6
"Eselinho","673687898",1128500,290000,-838500,-74.3
"Xyvee","666924181",1104500,560000,-544500,-49.3
"Giga","731918197",1102000,985000,-117000,-10.6
"Pekaju81","657872812",1100000,450000,-650000,-59.1
"Nikotin2803","225819189",1094500,600000,-494500,-45.2
"Cyno Lanri","856891947",1075500,495000,-580500,-54
"Cyria","562612771",1050000,975000,-75000,-7.1
"hartholzheftig","829453731",964500,600000,-364500,-37.8
"YanHolo","791277669",943000,240000,-703000,-74.5
"Meister DuKa","737898978",915500,0,-915500,-100
"Battlemurmel","215789357",911500,300000,-611500,-67.1
"BΛ Anexiety","486818281",770000,780000,10000,1.3
"Wyrdn","928416533",746000,645000,-101000,-13.5
"Acaizuku","449847638",650000,600000,-50000,-7.7
"Meister Kek","816352927",618000,90000,-528000,-85.4
"Murc de Burgh","779865135",492500,300000,-192500,-39.1
"Mugami Chinzano","663193878",380500,0,-380500,-100
"Falen Lacer","996731294",374500,300000,-74500,-19.9
"Lavesuma","444867952",317500,160000,-157500,-49.6
