"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Zak McKracken","583975841",6289500,4470000,-1819500,-28.9
"Rex47","798815731",5834000,6232500,398500,6.8
"Radhad","726188947",5731500,6450000,718500,12.5
"Kxbi39","963545236",5695000,3200000,-2495000,-43.8
"BΛ 18th Failix93","531337631",5433000,5850000,417000,7.7
"Okul Mevisto","375389182",5252500,1900000,-3352500,-63.8
"Poldy","198972786",5181000,4430000,-751000,-14.5
"BΛ 18th Qu1nO","311184143",4595500,3540000,-1055500,-23
"Bad Batch","681176546",4579500,4145000,-434500,-9.5
"Tobiwan","215178647",4258000,1020000,-3238000,-76
"Nudo der Rächer","553153872",4082500,2610000,-1472500,-36.1
"Kyle Katarn","857467862",4046000,1170000,-2876000,-71.1
"BΛ 18th Domme53","293754352",3238000,3000000,-238000,-7.4
"Maxima","272612712",2782000,1242500,-1539500,-55.3
"DD44ddyy","569924112",2693000,1713750,-979250,-36.4
"Micha","441471428",2503000,2145000,-358000,-14.3
"Campeón Pesadilla","987453191",2489500,1662500,-827000,-33.2
"Halodri","423968927",2376500,1637500,-739000,-31.1
"n0am","736436766",2190500,1605000,-585500,-26.7
"Rendo","529589453",2182500,1735000,-447500,-20.5
"Ethan Calypso","834324965",2176500,1685000,-491500,-22.6
"Evilfraggle","527696828",2158500,1165000,-993500,-46
"Exar Kun","587915188",2051500,2400000,348500,17
"YPSOLON","912458532",2041000,980000,-1061000,-52
"Sasa","496742742",1860500,1470000,-390500,-21
"Bullet","877667496",1847500,757500,-1090000,-59
"Nikotin2803","225819189",1800500,1630000,-170500,-9.5
"Skylar Twink","588326869",1671000,590000,-1081000,-64.7
"olliw30","785375887",1651000,1275000,-376000,-22.8
"Cyria","562612771",1511500,730000,-781500,-51.7
"Giga","731918197",1447000,1120000,-327000,-22.6
"Amgcobra","529132897",1438000,822500,-615500,-42.8
"Korgas","765528436",1358000,1275000,-83000,-6.1
"Aaron","894684436",1326500,1185000,-141500,-10.7
"Pelzdavi","412292457",1269500,750000,-519500,-40.9
"Pekaju81","657872812",1244000,525000,-719000,-57.8
"Eselinho","673687898",1222000,600000,-622000,-50.9
"Cyno Lanri","856891947",1133000,325000,-808000,-71.3
"Xyvee","666924181",1104500,0,-1104500,-100
"Wyrdn","928416533",1060500,1335000,274500,25.9
"Imperatorin Skylar ツ","529359665",1042000,510000,-532000,-51.1
"hartholzheftig","829453731",1040500,300000,-740500,-71.2
"Battlemurmel","215789357",937500,600000,-337500,-36
"BΛ Anexiety","486818281",779000,825000,46000,5.9
"Meister Kek","816352927",590500,307500,-283000,-47.9
"Falen Lacer","996731294",375500,300000,-75500,-20.1
"Murc de Burgh","779865135",326000,300000,-26000,-8
"Lavesuma","444867952",150500,160000,9500,6.3
