"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ 18th Failix93","531337631",4404500,4800000,395500,9
"Rex47","798815731",4998500,4537500,-461000,-9.2
"Kxbi39","963545236",5483000,3717500,-1765500,-32.2
"Zak McKracken","583975841",4963500,3420000,-1543500,-31.1
"Okul Mevisto","375389182",5019500,3165000,-1854500,-36.9
"Radhad","726188947",2414000,2850000,436000,18.1
"BΛ 18th Qu1nO","311184143",4528500,2700000,-1828500,-40.4
"Nudo der Rächer","553153872",3791500,2505000,-1286500,-33.9
"Micha","441471428",2174500,2250000,75500,3.5
"bL4De","457291367",3218000,2220000,-998000,-31
"BΛ 18th Domme53","293754352",2296000,2100000,-196000,-8.5
"Tobiwan","215178647",3067000,1950000,-1117000,-36.4
"Kyle Katarn","857467862",3519500,1650000,-1869500,-53.1
"Halodri","423968927",2283000,1487500,-795500,-34.8
"Ethan Calypso","834324965",2044000,1447500,-596500,-29.2
"DD44ddyy","569924112",2557500,1285000,-1272500,-49.8
"Sasa","496742742",1655000,1270000,-385000,-23.3
"Maxima","272612712",2558500,1200000,-1358500,-53.1
"Nikotin2803","225819189",1289500,1170000,-119500,-9.3
"n0am","736436766",2095500,1085000,-1010500,-48.2
"Rene","652417452",3592500,1032500,-2560000,-71.3
"Rendo","529589453",1603000,1015000,-588000,-36.7
"Giga","731918197",1102500,995000,-107500,-9.8
"Korgas","765528436",1528000,975000,-553000,-36.2
"Cyria","562612771",1444500,912500,-532000,-36.8
"Evilfraggle","527696828",1916000,895000,-1021000,-53.3
"olliw30","785375887",1608000,860000,-748000,-46.5
"BΛ Anexiety","486818281",772000,830000,58000,7.5
"Xyvee","666924181",1104500,795000,-309500,-28
"Pelzdavi","412292457",1263000,750000,-513000,-40.6
"YPSOLON","912458532",2043500,750000,-1293500,-63.3
"Bad Batch","681176546",1584000,645000,-939000,-59.3
"Wyrdn","928416533",818000,632500,-185500,-22.7
"Acaizuku","449847638",650500,600000,-50500,-7.8
"hartholzheftig","829453731",1035500,600000,-435500,-42.1
"Bullet","877667496",1833500,600000,-1233500,-67.3
"Pekaju81","657872812",1161500,550000,-611500,-52.6
"Amgcobra","529132897",1238500,470000,-768500,-62.1
"Cyno Lanri","856891947",1078000,377500,-700500,-65
"Battlemurmel","215789357",910500,300000,-610500,-67.1
"Eselinho","673687898",1128500,300000,-828500,-73.4
"Aaron","894684436",1296000,300000,-996000,-76.9
"Falen Lacer","996731294",374500,300000,-74500,-19.9
"Murc de Burgh","779865135",325500,250000,-75500,-23.2
"Meister Kek","816352927",382000,215000,-167000,-43.7
"Lavesuma","444867952",150500,190000,39500,26.2
"Meister DuKa","737898978",915000,0,-915000,-100
"YanHolo","791277669",954500,0,-954500,-100
