"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rex47","798815731",10978000,11100000,122000,1.1
"Josef29","588644288",10118000,9000000,-1118000,-11
"Zak McKracken","583975841",8832000,6450000,-2382000,-27
"BΛ 18th Qu1nO","311184143",7872000,4485000,-3387000,-43
"Kxbi39","963545236",7749000,4050000,-3699000,-47.7
"Radhad","726188947",7105500,11400000,4294500,60.4
"Okul Mevisto","375389182",6600000,4600000,-2000000,-30.3
"Nudo der Rächer","553153872",6516000,3402500,-3113500,-47.8
"DD44ddyy","569924112",6192500,5100000,-1092500,-17.6
"Tobiwan","215178647",5840000,3050000,-2790000,-47.8
"Poldy","198972786",5577500,4500000,-1077500,-19.3
"BΛ 18th Failix93","531337631",5437500,1800000,-3637500,-66.9
"Bad Batch","681176546",4773000,3600000,-1173000,-24.6
"BΛ 18th Domme53","293754352",4242500,4350000,107500,2.5
"Sandrelle","225136779",4219000,4170000,-49000,-1.2
"Micha","441471428",4139500,4470000,330500,8
"Ethan Calypso","834324965",3296000,2690000,-606000,-18.4
"Halodri","423968927",3206500,1790000,-1416500,-44.2
"n0am","736436766",2888500,2295000,-593500,-20.5
"Maxima","272612712",2818000,1791250,-1026750,-36.4
"YPSOLON","912458532",2817000,2250000,-567000,-20.1
"Evilfraggle","527696828",2711500,1623750,-1087750,-40.1
"Campeón Pesadilla","987453191",2528000,1800000,-728000,-28.8
"Rendo","529589453",2208500,2490000,281500,12.7
"Exar Kun","587915188",2179500,2550000,370500,17
"Nikotin2803","225819189",2119500,2590000,470500,22.2
"Cyria","562612771",2105000,1500000,-605000,-28.7
"Skylar Twink","588326869",1996000,450000,-1546000,-77.5
"Sasa","496742742",1980500,1645000,-335500,-16.9
"Weltenklang","514375443",1978500,1500000,-478500,-24.2
"Wyrdn","928416533",1907500,2250000,342500,18
"Bullet","877667496",1848500,825000,-1023500,-55.4
"Pekaju81","657872812",1682500,860000,-822500,-48.9
"Giga","731918197",1648500,1222500,-426000,-25.8
"olliw30","785375887",1644500,1445000,-199500,-12.1
"Amgcobra","529132897",1642500,1185000,-457500,-27.9
"Korgas","765528436",1557000,2100000,543000,34.9
"Ben Eidenswert","122627455",1479500,500000,-979500,-66.2
"Imperatorin Skylar ツ","529359665",1342500,300000,-1042500,-77.7
"Aaron","894684436",1322500,1200000,-122500,-9.3
"Pelzdavi","412292457",1264000,750000,-514000,-40.7
"Eselinho","673687898",1221500,1050000,-171500,-14
"Xyvee","666924181",1216500,0,-1216500,-100
"Cyno Lanri","856891947",1133000,600000,-533000,-47
"hartholzheftig","829453731",1040500,600000,-440500,-42.3
"Quinnscup","419626422",992500,1350000,357500,36
"Battlemurmel","215789357",938000,0,-938000,-100
"FirstOrderCommander","386171956",925500,800000,-125500,-13.6
"BΛ Anexiety","486818281",775000,825000,50000,6.5
"Murc de Burgh","779865135",569500,0,-569500,-100
