"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Kxbi39","963545236",4781500,3705000,-1076500,-22.5
"Okul Mevisto","375389182",4662500,780000,-3882500,-83.3
"BΛ 18th Qu1nO","311184143",4524500,0,-4524500,-100
"Zak McKracken","583975841",4436500,2875000,-1561500,-35.2
"BΛ 18th Failix93","531337631",3791000,4200000,409000,10.8
"Nudo der Rächer","553153872",3504000,2215000,-1289000,-36.8
"Kyle Katarn","857467862",3471500,0,-3471500,-100
"bL4De","457291367",3216000,2550000,-666000,-20.7
"Tobiwan","215178647",3067000,1650000,-1417000,-46.2
"Rene","652417452",2764000,1180000,-1584000,-57.3
"DD44ddyy","569924112",2555500,1755000,-800500,-31.3
"Halodri","423968927",2280000,1540000,-740000,-32.5
"BΛ 18th Domme53","293754352",2268500,1800000,-468500,-20.7
"Maxima","272612712",2252000,950000,-1302000,-57.8
"Stefan80","853644323",2217500,1070000,-1147500,-51.7
"Micha","441471428",2175000,2250000,75000,3.4
"n0am","736436766",2092500,750000,-1342500,-64.2
"YPSOLON","912458532",2044500,1275000,-769500,-37.6
"Evilfraggle","527696828",1915500,0,-1915500,-100
"Ethan Calypso","834324965",1893000,1442500,-450500,-23.8
"Bullet","877667496",1833500,600000,-1233500,-67.3
"Sasa","496742742",1655000,0,-1655000,-100
"Radhad","726188947",1636000,1800000,164000,10
"olliw30","785375887",1608000,1565000,-43000,-2.7
"Rendo","529589453",1603000,0,-1603000,-100
"Korgas","765528436",1350500,995000,-355500,-26.3
"Aaron","894684436",1294000,550000,-744000,-57.5
"Pelzdavi","412292457",1261500,750000,-511500,-40.5
"Cyria","562612771",1253000,522500,-730500,-58.3
"Gabel","973795682",1239500,,,
"Amgcobra","529132897",1238000,567500,-670500,-54.2
"Nikotin2803","225819189",1162000,902500,-259500,-22.3
"Eselinho","673687898",1128500,267500,-861000,-76.3
"Xyvee","666924181",1104500,850000,-254500,-23
"Giga","731918197",1102000,655000,-447000,-40.6
"Pekaju81","657872812",1100000,287500,-812500,-73.9
"Cyno Lanri","856891947",1076500,345000,-731500,-68
"hartholzheftig","829453731",964500,0,-964500,-100
"YanHolo","791277669",943000,0,-943000,-100
"Meister DuKa","737898978",915000,0,-915000,-100
"Battlemurmel","215789357",911000,300000,-611000,-67.1
"Wyrdn","928416533",818000,300000,-518000,-63.3
"BΛ Anexiety","486818281",770000,855000,85000,11
"Acaizuku","449847638",650000,600000,-50000,-7.7
"Meister Kek","816352927",617500,15000,-602500,-97.6
"Murc de Burgh","779865135",491500,250000,-241500,-49.1
"Mugami Chinzano","663193878",381500,0,-381500,-100
"Falen Lacer","996731294",374500,300000,-74500,-19.9
"Lavesuma","444867952",317500,175000,-142500,-44.9
