"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Zak McKracken","583975841",6290500,5182500,-1108000,-17.6
"Okul Mevisto","375389182",6166000,1060000,-5106000,-82.8
"Rex47","798815731",5834000,3600000,-2234000,-38.3
"Radhad","726188947",5731500,5700000,-31500,-0.5
"Kxbi39","963545236",5698500,3430000,-2268500,-39.8
"BΛ 18th Failix93","531337631",5438500,0,-5438500,-100
"Poldy","198972786",5190500,4487500,-703000,-13.5
"BΛ 18th Qu1nO","311184143",5097000,3620000,-1477000,-29
"Bad Batch","681176546",4709000,3900000,-809000,-17.2
"Nudo der Rächer","553153872",4465500,2485000,-1980500,-44.4
"Tobiwan","215178647",4258000,3290000,-968000,-22.7
"Kyle Katarn","857467862",4045500,2400000,-1645500,-40.7
"BΛ 18th Domme53","293754352",3416000,3150000,-266000,-7.8
"DD44ddyy","569924112",3110000,2322500,-787500,-25.3
"Micha","441471428",2848500,2655000,-193500,-6.8
"Maxima","272612712",2806000,1235000,-1571000,-56
"Ethan Calypso","834324965",2740500,1915000,-825500,-30.1
"Evilfraggle","527696828",2703500,1081250,-1622250,-60
"YPSOLON","912458532",2665500,1170000,-1495500,-56.1
"Campeón Pesadilla","987453191",2490000,1740000,-750000,-30.1
"Halodri","423968927",2375000,1727500,-647500,-27.3
"n0am","736436766",2191500,1560000,-631500,-28.8
"Rendo","529589453",2182000,2107500,-74500,-3.4
"Exar Kun","587915188",2051500,2400000,348500,17
"Sasa","496742742",1860500,1620000,-240500,-12.9
"Bullet","877667496",1847500,637500,-1210000,-65.5
"Nikotin2803","225819189",1801500,1725000,-76500,-4.2
"Skylar Twink","588326869",1671000,265000,-1406000,-84.1
"olliw30","785375887",1651000,300000,-1351000,-81.8
"Giga","731918197",1645000,1157500,-487500,-29.6
"Cyria","562612771",1511500,1140000,-371500,-24.6
"Amgcobra","529132897",1438500,832500,-606000,-42.1
"Korgas","765528436",1358500,1275000,-83500,-6.1
"Aaron","894684436",1326500,862500,-464000,-35
"Pelzdavi","412292457",1269500,750000,-519500,-40.9
"Pekaju81","657872812",1244000,562500,-681500,-54.8
"Eselinho","673687898",1221500,300000,-921500,-75.4
"Cyno Lanri","856891947",1133000,560000,-573000,-50.6
"Xyvee","666924181",1104500,300000,-804500,-72.8
"Wyrdn","928416533",1061500,1200000,138500,13
"Imperatorin Skylar ツ","529359665",1041500,485000,-556500,-53.4
"hartholzheftig","829453731",1040500,300000,-740500,-71.2
"Battlemurmel","215789357",937500,600000,-337500,-36
"BΛ Anexiety","486818281",779000,830000,51000,6.5
"Meister Kek","816352927",591500,445000,-146500,-24.8
"Murc de Burgh","779865135",496500,235000,-261500,-52.7
"Falen Lacer","996731294",375500,300000,-75500,-20.1
"Lavesuma","444867952",150500,0,-150500,-100
