"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Josef29","588644288",10084500,,,
"Rex47","798815731",9303000,9120000,-183000,-2
"BΛ 18th Qu1nO","311184143",7527000,3682500,-3844500,-51.1
"Zak McKracken","583975841",6290000,4720000,-1570000,-25
"Okul Mevisto","375389182",6166000,2100000,-4066000,-65.9
"Radhad","726188947",5763000,6150000,387000,6.7
"Kxbi39","963545236",5698500,1800000,-3898500,-68.4
"BΛ 18th Failix93","531337631",5430500,5400000,-30500,-0.6
"Poldy","198972786",5188500,5315000,126500,2.4
"Nudo der Rächer","553153872",4731000,3150000,-1581000,-33.4
"Kyle Katarn","857467862",4287500,900000,-3387500,-79
"Tobiwan","215178647",4259500,3315000,-944500,-22.2
"BΛ 18th Domme53","293754352",3566000,3450000,-116000,-3.3
"Micha","441471428",3390000,3000000,-390000,-11.5
"DD44ddyy","569924112",3109000,2260000,-849000,-27.3
"Halodri","423968927",2812000,1750000,-1062000,-37.8
"Maxima","272612712",2808000,1305000,-1503000,-53.5
"Ethan Calypso","834324965",2740500,0,-2740500,-100
"Evilfraggle","527696828",2704500,1027500,-1677000,-62
"YPSOLON","912458532",2665500,1430000,-1235500,-46.4
"Campeón Pesadilla","987453191",2490000,1730000,-760000,-30.5
"n0am","736436766",2193500,1650000,-543500,-24.8
"Rendo","529589453",2182000,2280000,98000,4.5
"Exar Kun","587915188",2127500,2400000,272500,12.8
"Cyria","562612771",2087000,1295000,-792000,-37.9
"Sasa","496742742",1860500,1540000,-320500,-17.2
"Bullet","877667496",1847500,547500,-1300000,-70.4
"Nikotin2803","225819189",1802000,1740000,-62000,-3.4
"Skylar Twink","588326869",1671500,590000,-1081500,-64.7
"olliw30","785375887",1651000,1300000,-351000,-21.3
"Giga","731918197",1647500,1200000,-447500,-27.2
"Amgcobra","529132897",1579500,255000,-1324500,-83.9
"Korgas","765528436",1360000,1430000,70000,5.1
"Aaron","894684436",1327500,750000,-577500,-43.5
"Pelzdavi","412292457",1269500,750000,-519500,-40.9
"Pekaju81","657872812",1244000,570000,-674000,-54.2
"Eselinho","673687898",1221500,600000,-621500,-50.9
"Xyvee","666924181",1216500,0,-1216500,-100
"Cyno Lanri","856891947",1133000,500000,-633000,-55.9
"Wyrdn","928416533",1064000,1350000,286000,26.9
"Imperatorin Skylar ツ","529359665",1043000,317500,-725500,-69.6
"hartholzheftig","829453731",1040500,682500,-358000,-34.4
"Battlemurmel","215789357",937500,600000,-337500,-36
"BΛ Anexiety","486818281",779000,825000,46000,5.9
"Meister Kek","816352927",591500,297500,-294000,-49.7
"Murc de Burgh","779865135",497000,300000,-197000,-39.6
"Falen Lacer","996731294",375500,10000,-365500,-97.3
"Lavesuma","444867952",150500,0,-150500,-100
