"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rex47","798815731",5790000,6037500,247500,4.3
"Kxbi39","963545236",5490000,3000000,-2490000,-45.4
"Zak McKracken","583975841",5332500,4117500,-1215000,-22.8
"Okul Mevisto","375389182",5253000,2500000,-2753000,-52.4
"Radhad","726188947",5213000,6000000,787000,15.1
"BΛ 18th Qu1nO","311184143",4622000,3952500,-669500,-14.5
"BΛ 18th Failix93","531337631",4403000,4950000,547000,12.4
"Bad Batch","681176546",4119500,435000,-3684500,-89.4
"Nudo der Rächer","553153872",4080500,2700000,-1380500,-33.8
"Tobiwan","215178647",3606000,2302500,-1303500,-36.1
"Rene","652417452",3602000,575000,-3027000,-84
"Kyle Katarn","857467862",3541000,900000,-2641000,-74.6
"BΛ 18th Domme53","293754352",3133500,2700000,-433500,-13.8
"Maxima","272612712",2778000,1195000,-1583000,-57
"DD44ddyy","569924112",2561500,2390000,-171500,-6.7
"Micha","441471428",2372000,2205000,-167000,-7
"Poldy","198972786",2327000,1772500,-554500,-23.8
"Campeón Pesadilla","987453191",2311000,1615000,-696000,-30.1
"Halodri","423968927",2303500,1422500,-881000,-38.2
"n0am","736436766",2101000,1790000,-311000,-14.8
"YPSOLON","912458532",2066000,750000,-1316000,-63.7
"Exar Kun","587915188",2051500,2400000,348500,17
"Ethan Calypso","834324965",2050500,1875000,-175500,-8.6
"Evilfraggle","527696828",1939000,630000,-1309000,-67.5
"Bullet","877667496",1884500,825000,-1059500,-56.2
"Sasa","496742742",1859500,1440000,-419500,-22.6
"Nikotin2803","225819189",1796500,1200000,-596500,-33.2
"Rendo","529589453",1656000,900000,-756000,-45.7
"olliw30","785375887",1631500,300000,-1331500,-81.6
"Cyria","562612771",1508000,1125000,-383000,-25.4
"Giga","731918197",1445000,670000,-775000,-53.6
"Amgcobra","529132897",1436500,537500,-899000,-62.6
"Korgas","765528436",1355500,1120000,-235500,-17.4
"Aaron","894684436",1300500,300000,-1000500,-76.9
"Pelzdavi","412292457",1268500,750000,-518500,-40.9
"Eselinho","673687898",1220000,735000,-485000,-39.8
"Pekaju81","657872812",1166000,595000,-571000,-49
"Xyvee","666924181",1104500,300000,-804500,-72.8
"Cyno Lanri","856891947",1085500,465000,-620500,-57.2
"Imperatorin Skylar ツ","529359665",1039000,540000,-499000,-48
"hartholzheftig","829453731",1035500,600000,-435500,-42.1
"Battlemurmel","215789357",932500,535000,-397500,-42.6
"Wyrdn","928416533",882000,1012500,130500,14.8
"BΛ Anexiety","486818281",776500,825000,48500,6.2
"Acaizuku","449847638",727500,525000,-202500,-27.8
"Meister Kek","816352927",386000,15000,-371000,-96.1
"Falen Lacer","996731294",375500,300000,-75500,-20.1
"Murc de Burgh","779865135",325500,0,-325500,-100
"Lavesuma","444867952",150500,250000,99500,66.1
