"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rex47","798815731",10976000,11100000,124000,1.1
"Josef29","588644288",10090500,9000000,-1090500,-10.8
"BΛ 18th Qu1nO","311184143",7868500,3450000,-4418500,-56.2
"Radhad","726188947",6996500,11100000,4103500,58.7
"Okul Mevisto","375389182",6600000,3095000,-3505000,-53.1
"Nudo der Rächer","553153872",6514500,3465000,-3049500,-46.8
"Zak McKracken","583975841",6289000,4900000,-1389000,-22.1
"DD44ddyy","569924112",5811000,5812500,1500,0
"Kxbi39","963545236",5696500,0,-5696500,-100
"Poldy","198972786",5477500,5090000,-387500,-7.1
"BΛ 18th Failix93","531337631",5440000,3000000,-2440000,-44.9
"Tobiwan","215178647",4802500,3170000,-1632500,-34
"Bad Batch","681176546",4711000,3900000,-811000,-17.2
"BΛ 18th Domme53","293754352",4241500,4350000,108500,2.6
"Sandrelle","225136779",4218500,3820000,-398500,-9.4
"Micha","441471428",3394000,3832500,438500,12.9
"Halodri","423968927",3088000,1867500,-1220500,-39.5
"Ethan Calypso","834324965",2845500,1910000,-935500,-32.9
"n0am","736436766",2830500,1755000,-1075500,-38
"Maxima","272612712",2816000,1393750,-1422250,-50.5
"Evilfraggle","527696828",2711500,1343750,-1367750,-50.4
"YPSOLON","912458532",2665500,1730000,-935500,-35.1
"Campeón Pesadilla","987453191",2528000,1665000,-863000,-34.1
"Rendo","529589453",2209000,2365000,156000,7.1
"Exar Kun","587915188",2179500,2400000,220500,10.1
"Nikotin2803","225819189",2119000,2295000,176000,8.3
"Cyria","562612771",2105000,1370000,-735000,-34.9
"Skylar Twink","588326869",1996500,830000,-1166500,-58.4
"Sasa","496742742",1986000,1480000,-506000,-25.5
"Weltenklang","514375443",1977000,1455000,-522000,-26.4
"Wyrdn","928416533",1909500,1800000,-109500,-5.7
"Bullet","877667496",1848500,690000,-1158500,-62.7
"Giga","731918197",1648500,1245000,-403500,-24.5
"olliw30","785375887",1645000,300000,-1345000,-81.8
"Amgcobra","529132897",1641000,940000,-701000,-42.7
"Korgas","765528436",1503000,1425000,-78000,-5.2
"Ben Eidenswert","122627455",1479500,0,-1479500,-100
"Aaron","894684436",1322500,0,-1322500,-100
"Pelzdavi","412292457",1264000,750000,-514000,-40.7
"Pekaju81","657872812",1238500,870000,-368500,-29.8
"Eselinho","673687898",1221500,1050000,-171500,-14
"Xyvee","666924181",1216500,360000,-856500,-70.4
"Cyno Lanri","856891947",1133000,485000,-648000,-57.2
"hartholzheftig","829453731",1040500,600000,-440500,-42.3
"Imperatorin Skylar ツ","529359665",1037500,300000,-737500,-71.1
"Quinnscup","419626422",992500,1350000,357500,36
"Battlemurmel","215789357",938000,600000,-338000,-36
"FirstOrderCommander","386171956",925500,645000,-280500,-30.3
"BΛ Anexiety","486818281",775000,825000,50000,6.5
"Murc de Burgh","779865135",497000,0,-497000,-100
