"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rex47","798815731",5834000,6150000,316000,5.4
"Radhad","726188947",5735000,6150000,415000,7.2
"Kxbi39","963545236",5691000,3410000,-2281000,-40.1
"Zak McKracken","583975841",5360000,4620000,-740000,-13.8
"Okul Mevisto","375389182",5252500,2010000,-3242500,-61.7
"Poldy","198972786",5191500,4500000,-691500,-13.3
"BΛ 18th Qu1nO","311184143",4592500,3500000,-1092500,-23.8
"Bad Batch","681176546",4580000,4030000,-550000,-12
"BΛ 18th Failix93","531337631",4453500,4950000,496500,11.1
"Nudo der Rächer","553153872",4082500,2400000,-1682500,-41.2
"Tobiwan","215178647",3930000,1200000,-2730000,-69.5
"Kyle Katarn","857467862",3544000,600000,-2944000,-83.1
"BΛ 18th Domme53","293754352",3178500,3000000,-178500,-5.6
"Maxima","272612712",2782000,1300000,-1482000,-53.3
"DD44ddyy","569924112",2693000,2375000,-318000,-11.8
"Campeón Pesadilla","987453191",2489500,1650000,-839500,-33.7
"Halodri","423968927",2374000,1492500,-881500,-37.1
"Micha","441471428",2373500,2250000,-123500,-5.2
"Rendo","529589453",2183000,1050000,-1133000,-51.9
"Evilfraggle","527696828",2158000,865000,-1293000,-59.9
"Ethan Calypso","834324965",2113500,1715000,-398500,-18.9
"n0am","736436766",2103000,1650000,-453000,-21.5
"Exar Kun","587915188",2051500,2400000,348500,17
"YPSOLON","912458532",2039500,782500,-1257000,-61.6
"Sasa","496742742",1860500,1460000,-400500,-21.5
"Bullet","877667496",1847000,655000,-1192000,-64.5
"Nikotin2803","225819189",1799000,1500000,-299000,-16.6
"Skylar Twink","588326869",1671000,,,
"olliw30","785375887",1651000,1305000,-346000,-21
"Cyria","562612771",1511500,1135000,-376500,-24.9
"Giga","731918197",1447000,1160000,-287000,-19.8
"Amgcobra","529132897",1438000,0,-1438000,-100
"Korgas","765528436",1358000,1275000,-83000,-6.1
"Aaron","894684436",1325500,812500,-513000,-38.7
"Pelzdavi","412292457",1269500,0,-1269500,-100
"Eselinho","673687898",1222000,600000,-622000,-50.9
"Pekaju81","657872812",1167500,440000,-727500,-62.3
"Cyno Lanri","856891947",1133000,392500,-740500,-65.4
"Xyvee","666924181",1104500,0,-1104500,-100
"Wyrdn","928416533",1062000,1297500,235500,22.2
"Imperatorin Skylar ツ","529359665",1042000,,,
"hartholzheftig","829453731",1039500,300000,-739500,-71.1
"Battlemurmel","215789357",937500,600000,-337500,-36
"BΛ Anexiety","486818281",779000,900000,121000,15.5
"Meister Kek","816352927",387500,135000,-252500,-65.2
"Falen Lacer","996731294",375500,300000,-75500,-20.1
"Murc de Burgh","779865135",326000,300000,-26000,-8
"Lavesuma","444867952",150500,160000,9500,6.3
